"ING Bank Śląski S.A."
"Lista transakcji"
"Klient";"Jan Testowy"
"Numer rachunku";"PL00 0000 0000 0000 0000 0000 0001"
""
"Data transakcji";"Data księgowania";"Dane kontrahenta";"Tytuł";"Nr rachunku";"Nazwa banku";"Szczegóły";"Nr transakcji";"Kwota transakcji (waluta rachunku)";"Waluta"
"2026-06-26";"2026-06-26";"BIEDRONKA 1234";"ZAKUPY SPOŻYWCZE";"PL00 1111 1111 1111 1111 1111 1111";"";"PŁATNOŚĆ KARTĄ";"ING-0001";"-142,30";"PLN"
"2026-06-25";"2026-06-25";"FIRMA TESTOWA SP Z O O";"WYNAGRODZENIE";"PL00 3333 3333 3333 3333 3333 3333";"";"PRZELEW PRZYCHODZĄCY";"ING-0002";"9800,00";"PLN"
"2026-06-24";"2026-06-24";"ORLEN";"PALIWO";"";"";"PŁATNOŚĆ KARTĄ";"ING-0003";"-251,00";"PLN"
"2026-06-23";"2026-06-23";"WSPÓLNOTA MIESZKANIOWA";"CZYNSZ CZERWIEC";"PL00 2222 2222 2222 2222 2222 2222";"";"PRZELEW WYCHODZĄCY";"ING-0004";"-1800,00";"PLN"
"2026-06-22";"2026-06-22";"LIDL";"ZAKUPY";"";"";"PŁATNOŚĆ KARTĄ";"ING-0005";"-98,76";"PLN"
"2026-06-22";"2026-06-22";"LIDL";"ZAKUPY";"";"";"PŁATNOŚĆ KARTĄ";"ING-0006";"-98,76";"PLN"
"2026-06-21";"2026-06-21";"ALLEGRO";"ZAKUP INTERNETOWY";"";"";"BLIK";"ING-0007";"-329,99";"PLN"
"2026-06-20";"2026-06-20";"NETFLIX";"SUBSKRYPCJA";"";"";"PŁATNOŚĆ INTERNET";"ING-0008";"-43,00";"PLN"
"2026-06-19";"2026-06-19";"RESTAURACJA POD RÓŻĄ";"OBIAD";"";"";"PŁATNOŚĆ KARTĄ";"ING-0009";"-187,50";"PLN"
"2026-06-18";"2026-06-18";"BANK HIPOTECZNY";"RATA KREDYTU";"PL00 4444 4444 4444 4444 4444 4444";"";"PRZELEW WYCHODZĄCY";"ING-0010";"-2100,00";"PLN"
"2026-06-17";"2026-06-17";"ROSSMANN";"DROGERIA";"";"";"PŁATNOŚĆ KARTĄ";"ING-0011";"-64,20";"PLN"
"2026-06-16";"2026-06-16";"EURONET";"WYPŁATA BANKOMAT";"";"";"WYPŁATA GOTÓWKI";"ING-0012";"-400,00";"PLN"
"2026-06-15";"2026-06-15";"MPK WARSZAWA";"BILET MIESIĘCZNY";"";"";"PŁATNOŚĆ KARTĄ";"ING-0013";"-110,00";"PLN"
"2026-06-13";"2026-06-13";"APTEKA";"LEKI";"";"";"PŁATNOŚĆ KARTĄ";"ING-0014";"-78,90";"PLN"
"2026-06-12";"2026-06-12";"PRZEWOŹNIK KOLEJOWY";"ZWROT ZA BILETY";"";"";"PRZELEW PRZYCHODZĄCY";"ING-0015";"230,00";"PLN"
"2026-06-10";"2026-06-10";"CINEMA CITY";"KINO";"";"";"PŁATNOŚĆ KARTĄ";"ING-0016";"-89,00";"PLN"
"2026-06-09";"2026-06-09";"DECATHLON";"SPRZĘT SPORTOWY";"";"";"PŁATNOŚĆ KARTĄ";"ING-0017";"-412,99";"PLN"
"2026-06-06";"2026-06-06";"IKEA JANKI";"MEBLE";"";"";"PŁATNOŚĆ KARTĄ";"ING-0018";"-643,15";"PLN"
"2026-06-05";"2026-06-05";"AUCHAN";"ZAKUPY SPOŻYWCZE";"";"";"PŁATNOŚĆ KARTĄ";"ING-0019";"-289,40";"PLN"
"2026-06-02";"2026-06-02";"URZĄD SKARBOWY";"ZWROT PODATKU";"PL00 5555 5555 5555 5555 5555 5555";"";"PRZELEW PRZYCHODZĄCY";"ING-0020";"1540,00";"PLN"
"2026-06-01";"2026-06-01";"BENEFIT SYSTEMS";"KARTA SPORTOWA";"";"";"PŁATNOŚĆ KARTĄ";"ING-0021";"-149,00";"PLN"
